block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
37591,9ff298a112781e8aa51d368c575a7148fdfdce2e693f965ba19a953295c88d62,2010-02-01 12:37:56,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37592,aa7de5f346367fecd589ad963bd421cfde498a0a107c33490cfb95ea3040f74e,2010-02-01 12:41:54,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37593,367ccf47c729dd57a00df22cacb9b9e3218601ff21a61d85282ee4512b02c882,2010-02-01 12:44:48,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37594,456771872ee99efffefca96cebae8f7288091063bea09d50a89d4b3b1aec62b8,2010-02-01 12:45:38,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37595,fb0b822e6988bb8daa61255906e5f7da9cbb4ba091e1bdf301fe9ad762b3a6fb,2010-02-01 12:52:34,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37596,42079283d9a97e2ba2bbb951d3fde7677333e7595c9a31fce376327a1b98f41e,2010-02-01 12:54:26,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37597,92cc16b188cc19e27711787bb1f495de6e7fadcb80cb8d0ffd982f0362140b70,2010-02-01 12:58:36,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37598,471a8813bff795f184a08eb8dd7c49662b73838bd742fbc0e485e4706af8fb61,2010-02-01 12:58:55,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37599,82e5b53986a2ab60628096bdcda088e466d5003ea8ac9c73b6db044035a182b2,2010-02-01 13:01:36,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37600,b31810ec8437955741e3097ab6a4e015f4d58cc797bae7a62c87cd555d716f6d,2010-02-01 13:21:54,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37601,f275cd8bf8cee01af009bea685e00a0a5abefc22229bd7a48dd4c741f7d2409e,2010-02-01 13:25:36,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37602,453492b0f56bc5ffa2d8e205a803cb81cb160236b861b626c013cee2f20be8ff,2010-02-01 13:38:46,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37603,d53d0fe1de0805758466afbbc40af9985b8b8f69683d188484c74419a320d6b3,2010-02-01 13:46:20,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37604,8ffe00bdc5cf4ceb64a9e51610962544cb4c06750003609e3c0d48d6bb42da29,2010-02-01 14:00:07,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37605,bf79f174e992bf78d01ac124879f7793cf1519efc09d88d89410d85a7f6cf6b2,2010-02-01 14:23:45,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37606,d713b4bdb31e62c61631f5cfbc5b8429b8fe9e8ceb186bc3245438d9b5bacc6a,2010-02-01 14:38:22,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37607,89e4d2c5e90a6eae44769c9799cd7dabdd98784e9f243b80240f0bdb208595c0,2010-02-01 14:48:59,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37608,bd1d0cf51dfd0846cb14558a35dce5553d63b650e6d9a430c1de2f20ac51caa7,2010-02-01 15:01:56,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37609,651db4e089108204e616ed21175bfb86b99e6ece2815129904027bb598f5ced9,2010-02-01 15:30:10,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37609,33d1ad0d24e2cb466054e47060c8ae527af7a3c46445335bebf9d24a6f5b1e9e,2010-02-01 15:30:10,616,2464,1,0,0,0,5,1,25000000000,2.5,25000000000,2.5,0,0,0,0,0,0,258.66550925926
37610,8a2b11b5ce586279764661bcf78af121801446a12420280465663ab67769ee18,2010-02-01 15:43:32,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37611,9d65b0098a46ad79d84529f549f01c509bcb6a899f7c1382f7bb34f198abb194,2010-02-01 15:44:10,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37612,c8835d8f048273097ca2541bcffc1d49495187646d6567b6caaa4fd185ea4d21,2010-02-01 15:46:05,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37613,bc033581b7ca8cbd70cefecb5da313f4add5e86be5f3e52569e47e1c685afe26,2010-02-01 15:48:29,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37614,ea344263a40d79699cebc0da22a2b1aa30a829969208a67dfb9701086001e0f6,2010-02-01 15:53:34,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37615,8142b309ec75d88c86d8195deaab8dc83e6ff2a5b2448a96cd16f29ab26a8df3,2010-02-01 15:53:45,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37616,2014460d2ee69b7d1011c8bb81b3125ee00f48d9ae6ead5307f3ebf181829c21,2010-02-01 16:00:25,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
