block_id,transaction_hash,index,time,value,value_usd,recipient,type,script_hex,is_from_coinbase,is_spendable
38128,fdb95482d64f630509fa5ead72d27335b3b10a6a6c67949db8c014964c3780fd,0,2010-02-04 04:16:42,5000000000,0.5,1FJNXCbGwkWwexvf2GDJ9igetHsoEtVQyS,pubkey,41043069b50b87b09b0f9255aa7e675c29f7133a06c36936473f07635a46b6dff6b4a5e242b82fd0b37b72ef20c39d8e9cc10c7cae75f23c70f5fd1e47c45ba1a3d4ac,1,1
38129,5131cebaf4635d59db441d896c8b22d4edf1d26d7322578cc05343a0453e2e0f,0,2010-02-04 04:21:32,5000000000,0.5,19FiheoL7B5n55m8uazLALYsb3AEnydqSf,pubkey,41049fb8b91dbc17978ed5a7cc556d78e89e9e468976e309c43a9c4b30e2d06f9fdccca1045686a32d75b3943bc4e2c379a03e483713a08dfa90c675cce2da73dfa9ac,1,1
38130,ddbd0e41272cd09089d9f3c424ed92eabec18137b35f9d1ae4965ffd668ff77e,0,2010-02-04 04:19:12,5000000000,0.5,1L5He4DM9R1Em73NhEUew51Dm7UUG6UryJ,pubkey,41043b64c8c523c0f99b738f99dc8ab153d954951494980776d828e9238f03b5934b90dc00bfe0df56771fd0c1279871918a8b0243993bc6b7f82a78b1d923c987aaac,1,1
38131,1805b38a82da5dffbf79e03274f3b14c9a2933606a2bbb5ba3628f2a3af7b467,0,2010-02-04 04:27:32,5000000000,0.5,1DPurQWWjdREwHKq8ftMcAaVdcSEhmKMLf,pubkey,4104a5c11604c4b1b54f89b2c8a479e20367982b9db75d9716f61462f336c31d35de7cd1e7e6266e2c6da127cd6810a029df81786ae7e7975df53e22e22727f6449eac,1,1
38132,4ab29654201c1ce5962119ee331792e7441f10db3b260672d19be804e98bda62,0,2010-02-04 04:40:51,5000000000,0.5,1BBByni3fEdsE83Ssn1h1xUJMGT9jpPTuH,pubkey,4104046088d6f537c335311cb262a3532dcd5ed14d0f5e7433b369c511a4c3ac52713ee727f217f7daedf9593b239f37493f1210aafa6f0b7b064af33e26fe4cdba8ac,1,1
38133,07128ef8503e2d1b437a44dd456abb49dcadebd169e93c72939541758eccee0f,0,2010-02-04 04:45:22,5000000000,0.5,14vgVriusgVUzdm8hjy1abwb2fwi4NayHU,pubkey,4104d672456f8feddb1229f50483ac28516c306b3fa0ed6862a33f268883cbb092d78157045e70bd3f06b11fa12fbbbf807ee364fa9d074bfea31ad0f15263f05c61ac,1,1
38134,0b434121b4da201b035701bc733a85f2172c8b782f1ad032c3866cb6996d8ee3,0,2010-02-04 04:51:53,5000000000,0.5,12cKhEQTcvjdvwrBfPAkKZKiWsaFtzUiuN,pubkey,4104459363c9b508ef364da2a0431832980c04bf12c285d350e6d1f259c4edd80ba9012fce5cb3607e63dd829ddec4cc978c46d27559308871d0a6f3a09dc8650f4eac,1,1
38135,4ef72a6a7507afb1f59e06363bfb01b93c99eea4af809a1065468f520507de81,0,2010-02-04 05:02:00,5000000000,0.5,1Cn54kbEmXnoEEYpRLuR6K6Rp7ArEkeFSd,pubkey,4104a23c5d242d1613095a2c0ba4ee6afe59a9abb23f186a12d087690fe2d899690ef9d18183dff20dd966451fb09fd0b97e9b3173b5dcf6c4c8ee68d3a98b816595ac,1,1
38136,ea7be6cb717dd39fb27f60f440ce3e0a6fe7b960a5a9a06ecb4854e030a0743e,0,2010-02-04 05:04:36,5000000000,0.5,1DVgQgg13NcZtnF42aSjuPdLumHf5zCDxM,pubkey,410498a6555e569d0ddb12e9465e88fb5c305ad772cea8861a97cb18dc5cccbdf1a7ef570c3bebb0bdda8f9a62c2ab017b4bd2ae1262e3e180d355d00ac52a5d0f7fac,1,1
38137,617de8a9eafa0cad68db87733ece521f9f501bc32ccf7a651a6f00ae862df8b2,0,2010-02-04 05:05:24,5000000000,0.5,13SYn4cfukC5w12XdVHjeWpqsDTcsCaZr8,pubkey,410419441521b85fb9f9b404686dcf0de38fd2684985a7452d6a0e8b061e3e6e3feef87702e0c83ca7e9826dbb53afbdbe6729455c5e53e040a0364efd6c29ea9f15ac,1,1
